type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.52380952381	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.615942028986	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.786561264822	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.928571428571	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.738095238095	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.533333333333	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.895534290271	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.610623781676	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.5	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.834297520661	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.494490358127	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.952380952381	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.5	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.619047619048	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	0.625	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.875	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.8125	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.652046783626	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.6	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.613157894737	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.803571428571	112
